out:Location,out:House,out:Construction,out:EUI Heating (kBTU/sf),out:Peak Heating (kW),out:EUI Cooling (kBTU/sf),out:Peak Cooling(kW)
Miami,CFV,2BeadWall_U0.033,2099,915106,40458,771939
Miami,CFV,3BeadWall_U0.052,2042,9351285,41324,7830755
Miami,CFV,2BeadWall_U0.060,2116,9473557,41879,7962907
Miami,CFV,2BeadWall_U0.071,2116,959107,42402,8055108
Miami,CFV,2BeadWall_0.028,2099,9099983,40229,7681222
Miami,CFV,2BeadWall_0.043,2107,9263175,40948,7802795
Miami,CFV,Wood_Frame_adjusted_CLZ_1_2,2565,9962726,44885,9217101
Miami,CFV,CMU_CLZ_1,223,10863567,48977,9220353
Houston,CFV,2BeadWall_U0.033,12555,16028375,26719,8672958
Houston,CFV,3BeadWall_U0.052,12645,16377431,27323,8790518
Houston,CFV,2BeadWall_U0.060,12792,16565818,27715,8947194
Houston,CFV,2BeadWall_U0.071,12873,16762394,28075,9049543
Houston,CFV,2BeadWall_0.028,12522,1594354,26555,8629255
Houston,CFV,2BeadWall_0.043,12636,1621487,27062,876828
Houston,CFV,Wood_Frame_adjusted_CLZ_1_2,13764,17363225,30084,10478919
Houston,CFV,CMU_CLZ_2,1356,18380423,31701,10119591
Phoenix,CFV,2BeadWall_U0.033,12947,12699572,37672,13182127
Phoenix,CFV,3BeadWall_U0.052,13004,12994451,38645,13375514
Phoenix,CFV,2BeadWall_U0.060,1311,13156394,39184,13574134
Phoenix,CFV,2BeadWall_U0.071,13167,13322325,39739,13719134
Phoenix,CFV,2BeadWall_0.028,12914,12627051,37436,13120001
Phoenix,CFV,2BeadWall_0.043,13004,12858606,38195,13318135
Phoenix,CFV,Wood_Frame_adjusted_CLZ_1_2,14115,13825732,4228,153051
Phoenix,CFV,CMU_CLZ_2,13666,14662288,44869,15117029
Atlanta,CFV,2BeadWall_U0.033,34258,19799459,15569,8235819
Atlanta,CFV,3BeadWall_U0.052,34699,2023873,15994,835653
Atlanta,CFV,2BeadWall_U0.060,34993,20427418,16279,8496774
Atlanta,CFV,2BeadWall_U0.071,35263,20674523,16541,8593024
Atlanta,CFV,2BeadWall_0.028,34136,19693541,15455,8194162
Atlanta,CFV,2BeadWall_0.043,34511,2003243,15814,8326585
Atlanta,CFV,Wood_Frame_adjusted_CLZ_3,35729,20574762,17145,9303694
Atlanta,CFV,CMU_CLZ_3_4,35974,21360969,17742,91227
Las Vegas,CFV,2BeadWall_U0.033,23901,14796583,26743,12769728
Las Vegas,CFV,3BeadWall_U0.052,24178,15150461,27446,12967017
Las Vegas,CFV,2BeadWall_U0.060,24391,15346096,27862,13176807
Las Vegas,CFV,2BeadWall_U0.071,24571,1554616,28279,13307119
